Date,Open,High,Low,Close,Volume,Market Cap
2015/9/24,230.36,235.65,230.30,234.53,"25,097,800.00","3,373,850,000.00"
2015/9/23,230.94,231.84,229.59,230.28,"17,254,100.00","3,381,390,000.00"
2015/9/22,226.97,232.39,225.12,230.62,"25,009,300.00","3,322,420,000.00"
2015/9/21,231.22,231.22,226.52,227.09,"19,678,800.00","3,383,840,000.00"
2015/9/20,231.40,232.37,230.91,231.21,"14,444,700.00","3,385,770,000.00"
2015/9/19,232.86,233.21,231.09,231.49,"12,712,600.00","3,406,390,000.00"
2015/9/18,233.52,234.35,232.19,232.98,"20,242,200.00","3,415,440,000.00"
2015/9/17,229.08,230.29,228.93,229.81,"18,935,400.00","3,349,390,000.00"
2015/9/16,230.25,231.22,227.40,229.09,"20,144,200.00","3,365,740,000.00"
2015/9/15,230.49,259.18,229.82,230.30,"19,177,800.00","3,368,360,000.00"
2015/9/14,230.61,232.44,227.96,230.64,"20,997,800.00","3,369,190,000.00"
2015/9/13,235.24,235.94,229.33,230.51,"18,478,800.00","3,435,990,000.00"
2015/9/12,239.86,240.12,234.75,235.23,"17,962,600.00","3,502,520,000.00"
2015/9/11,238.33,241.17,238.33,240.11,"19,224,700.00","3,479,310,000.00"
2015/9/10,238.34,241.29,235.79,238.48,"21,215,500.00","3,478,410,000.00"
2015/9/9,243.42,244.42,237.82,238.17,"23,635,700.00","3,551,640,000.00"
2015/9/8,239.85,245.78,239.68,243.61,"26,879,200.00","3,498,750,000.00"
2015/9/7,239.93,242.11,238.72,239.85,"21,192,200.00","3,499,120,000.00"
2015/9/6,234.87,242.91,234.68,239.84,"25,473,700.00","3,424,420,000.00"
2015/9/5,230.20,236.14,229.44,235.02,"20,671,400.00","3,355,470,000.00"
2015/9/4,227.22,230.90,227.05,230.30,"20,962,400.00","3,311,080,000.00"
2015/9/3,229.32,229.61,226.67,227.18,"17,482,000.00","3,340,990,000.00"
2015/9/2,228.03,230.58,226.48,229.28,"18,760,400.00","3,321,180,000.00"
2015/9/1,230.26,231.22,226.86,228.12,"20,575,200.00","3,352,760,000.00"
2015/8/31,229.11,231.96,225.92,230.06,"20,710,700.00","3,335,220,000.00"
2015/8/30,229.90,232.07,226.25,228.76,"19,412,600.00","3,345,740,000.00"
2015/8/29,231.55,233.22,227.33,229.78,"17,142,500.00","3,368,880,000.00"
2015/8/28,224.70,235.22,220.93,231.40,"31,336,600.00","3,268,370,000.00"
2015/8/27,226.05,228.64,223.68,224.77,"21,905,400.00","3,287,220,000.00"
2015/8/26,222.08,231.18,220.20,225.83,"31,808,000.00","3,228,540,000.00"
2015/8/25,210.07,226.32,199.57,221.61,"61,089,200.00","3,053,250,000.00"
2015/8/24,228.11,228.14,210.44,210.50,"59,220,700.00","3,314,640,000.00"
2015/8/23,230.38,232.71,225.58,228.17,"18,406,600.00","3,346,760,000.00"
2015/8/22,232.66,234.96,222.70,230.39,"23,205,900.00","3,379,050,000.00"
2015/8/21,235.36,236.43,231.72,232.57,"23,173,800.00","3,417,200,000.00"
2015/8/20,226.90,237.37,226.90,235.35,"32,275,000.00","3,293,570,000.00"
2015/8/19,225.67,237.41,222.77,226.68,"60,869,200.00","3,274,860,000.00"
2015/8/18,257.93,257.99,211.08,211.08,"42,147,200.00","3,742,020,000.00"
2015/8/17,258.49,260.51,257.12,257.98,"21,617,900.00","3,749,260,000.00"
2015/8/16,261.87,262.44,257.04,258.51,"29,717,000.00","3,797,330,000.00"
2015/8/15,265.53,266.67,261.30,261.55,"19,321,100.00","3,849,530,000.00"
2015/8/14,264.13,267.47,261.48,265.68,"27,091,200.00","3,828,340,000.00"
2015/8/13,266.18,266.23,262.84,264.08,"27,685,500.00","3,857,090,000.00"
2015/8/12,270.60,270.67,265.47,266.38,"26,815,400.00","3,920,210,000.00"
2015/8/11,264.34,270.39,264.09,270.39,"25,433,900.00","3,828,500,000.00"
2015/8/10,265.48,267.03,262.60,264.47,"20,979,400.00","3,843,850,000.00"
